asin,coupon,page_num,position_num,price_initial,price_true,rate,reviews,sellername,title
B076DJRLGR,False,2,30,,$23.99,4.5,26,"by ,Bare Home,FREE Shipping on eligible orders",Quilted Fitted Mattress Pad - Cooling Mattress Topper - Hypoallergenic Down Alternative Fiberfill - Stretch-To-Fit (King)
B06XBV6FTY,False,2,31,,$19.99,4.7,327,"by ,Utopia Bedding,FREE Shipping on eligible orders",Premium Mattress Pad (Queen) - Quilted Fitted Mattress Topper Stretches up to 15 Inches Deep - Plush and Soft Mattress Protector and Cover with Deep Pockets - by Utopia Bedding
B073CMBMJ8,False,2,32,,$42.99,4.3,231,"by ,MEROUS,FREE Shipping on eligible orders",MEROUS Full Size Cotton Mattress Pad Down Alternative Mattress Cover - Hypoallergenic Fitted Quilted Mattress Topper - Stretches up to 18 Inches Deep
B075ZMKX2N,False,2,33,,$29.90,4.3,82,"by ,Freelife,FREE Shipping on eligible orders","Mattress Pad Cover, 100% Cotton Fabric, Microfiber Filled, Soft, Hypoallergenic, Mattress Topper with Deep Pocket(Twin XL,Basic)"
B071Y85P5B,False,2,34,,$14.99,4.6,34,"by ,Allrange,FREE Shipping on eligible orders","Allrange Luxury 300TC Hypoallergenic Quilted Fitted Cotton Down Alternative Mattress Pad,Fits up to 22"",100% Cotton Cover,OEKO-TEX Certified,DACRON Fill, Mattress Protector, CK"
B008ROLQ9K,False,2,35,,,4,,"by ,MALOUF",MALOUF SLEEP TITE Quilted Mattress Pad with Damask Cover and Down Alternative Fill - Twin
B073Z7F496,True,2,36,,$69.99,4.3,,"by ,witone,<span class=""a-color-secondary"">FREE Shipping on eligible orders",witone Mattress Pad King Size 400TC Cotton Top 3M Water Resistant Hypoallergenic-71oz Down Alternative Filling Pillowtop Mattress Topper Cover-Fitted Quilted 8-21 Inch Deep Pocket
B07C97VPRB,False,2,37,,$39.99,4.3,28,"by ,Snuz,FREE Shipping on eligible orders",Quilted Fitted Mattress Pad Featuring Nanotex Coolest Comfort Temperature Regulating Cooling Technology. Super Soft SPA Grade Microfiber. Guaranteed To Fit Up To 18 Inch Mattress (Queen Size)
B071Y7KW7Q,False,2,38,,$26.99,4.4,68,"by ,Allrange,More Buying Choices,FREE Shipping on eligible orders","Allrange 300TC Cool Tencel Hypoallergenic Quilted Mattress Pad, Stretch-up-to 22"", Fitted Tencel Polyester Fill, Silky Cotton Tencel Cover,OEKO-TEX Certified, Full"
B00MGWK06E,False,2,39,,$22.99,3.6,36,"by ,Gilbin,FREE Shipping on eligible orders",College Dorm Twin Extra Long Quilted Mattress Pad Cotton or Cotton Polyester(percale) …
B01HTQCESS,False,2,40,,$54.99,4.3,"1,412","by ,MASTERTEX,FREE Shipping on eligible orders","Luxurious Fitted Down Alternative Mattress Pad 100% Cotton Cover 300 TC Quilted and Breathable - Bed Mattress Topper Stretches Up to 18 - Queen Size (60x80"")"
B073FC3MCS,False,2,41,,$42.90,4.3,213,"by ,Maevis,FREE Shipping on eligible orders","Maevis Mattress Pad Cover 100% 300TC Cotton with 8-21 Inch Deep Pocket White Overfilled Bed Mattress Topper (Down Alternative, Queen)"
